SNV;Index;BR;UF;initial(km);final(km);Extension(km);LOTE;Address_of_SNV_in_network
010DF025000;211;10;DF;25.00;34.03;9.03;1;\Videos\Recebidos\2020\Lote1\1100\18_07_2020\0_010DF025000
010DF034011;212;10;DF;34.01;25.00;9.01;1;\Videos\Recebidos\2020\Lote1\1100\20_07_2020\1_010DF034011
010PA000000;589;10;PA;0.00;18.09;18.09;1;\Videos\Recebidos\2020\Lote1\1101\10_08_2020\0_010PA000000
010PA018086;590;10;PA;18.09;83.45;65.37;1;\Videos\Recebidos\2020\Lote1\1101\10_08_2020\1_010PA018086
010PA083452;591;10;PA;83.45;166.52;83.07;1;\Videos\Recebidos\2020\Lote1\1101\10_08_2020\2_010PA083452
010PA166518;592;10;PA;166.52;176.77;10.25;1;\Videos\Recebidos\2020\Lote1\1101\11_08_2020\3_010PA166518
010PA176767;593;10;PA;176.77;272.98;96.21;1;\Videos\Recebidos\2020\Lote1\1101\11_08_2020\4_010PA176767
010PA272976;594;10;PA;272.98;300.56;27.59;1;\Videos\Recebidos\2020\Lote1\1101\11_08_2020\5_010PA272976
010PA300563;595;10;PA;300.56;308.43;7.87;1;\Videos\Recebidos\2020\Lote1\1101\11_08_2020\6_010PA300563
010PA308433;596;10;PA;308.43;314.17;5.74;1;\Videos\Recebidos\2020\Lote1\1101\11_08_2020\7_010PA308433
010PA314165;597;10;PA;314.17;322.63;8.47;1;\Videos\Recebidos\2020\Lote1\1101\11_08_2020\8_010PA314165
010PA322633;598;10;PA;322.63;354.75;32.11;1;\Videos\Recebidos\2020\Lote1\1101\11_08_2020\9_010PA322633
010PA354745;599;10;PA;354.75;356.18;1.44;1;\Videos\Recebidos\2020\Lote1\1101\11_08_2020\10_010PA354745
010PA356184;600;10;PA;356.18;363.34;7.15;1;\Videos\Recebidos\2020\Lote1\1101\13_08_2020\11_010PA356184
010PA363337;601;10;PA;363.34;372.82;9.48;1;\Videos\Recebidos\2020\Lote1\1101\13_08_2020\12_010PA363337
010PA372821;602;10;PA;372.82;378.59;5.77;1;\Videos\Recebidos\2020\Lote1\1101\13_08_2020\13_010PA372821
010PA378594;603;10;PA;378.59;391.05;12.46;1;\Videos\Recebidos\2020\Lote1\1101\13_08_2020\14_010PA378594
010PA391046;604;10;PA;391.05;394.59;3.55;1;\Videos\Recebidos\2020\Lote1\1101\13_08_2020\15_010PA391046
010PA394589;605;10;PA;394.59;391.05;3.54;1;\Videos\Recebidos\2020\Lote1\1101\13_08_2020\16_010PA394589
010PA394594;606;10;PA;394.59;408.22;13.63;1;\Videos\Recebidos\2020\Lote1\1101\13_08_2020\17_010PA394594
010PA408222;608;10;PA;408.22;410.92;2.70;1;\Videos\Recebidos\2020\Lote1\1101\13_08_2020\19_010PA408222
010PA408225;607;10;PA;408.23;394.59;13.64;1;\Videos\Recebidos\2020\Lote1\1101\13_08_2020\18_010PA408225
010PA410917;610;10;PA;410.92;422.63;11.71;1;\Videos\Recebidos\2020\Lote1\1101\13_08_2020\21_010PA410917
010PA410918;609;10;PA;410.92;408.23;2.69;1;\Videos\Recebidos\2020\Lote1\1101\13_08_2020\20_010PA410918
